city,neighbourhood,month,median_price,currency
Nairobi,Karen,2024-01,70500.0,KES
Nairobi,Karen,2024-02,68100.0,KES
Nairobi,Karen,2024-03,66100.0,KES
Nairobi,Karen,2024-04,64300.0,KES
Nairobi,Karen,2024-05,64900.0,KES
Nairobi,Karen,2024-06,65200.0,KES
Nairobi,Karen,2024-07,65100.0,KES
Nairobi,Karen,2024-08,67200.0,KES
Nairobi,Karen,2024-09,69600.0,KES
Nairobi,Karen,2024-10,69800.0,KES
Nairobi,Karen,2024-11,67600.0,KES
Nairobi,Karen,2024-12,67500.0,KES
Nairobi,Karen,2025-01,69700.0,KES
Nairobi,Karen,2025-02,70300.0,KES
Nairobi,Karen,2025-03,69200.0,KES
Nairobi,Karen,2025-04,67200.0,KES
Nairobi,Karen,2025-05,67400.0,KES
Nairobi,Karen,2025-06,68200.0,KES
Nairobi,Karen,2025-07,68700.0,KES
Nairobi,Karen,2025-08,71800.0,KES
Nairobi,Karen,2025-09,73400.0,KES
Nairobi,Karen,2025-10,73600.0,KES
Nairobi,Karen,2025-11,71700.0,KES
Nairobi,Karen,2025-12,70100.0,KES
Nairobi,Runda,2024-01,66400.0,KES
Nairobi,Runda,2024-02,65400.0,KES
Nairobi,Runda,2024-03,65300.0,KES
Nairobi,Runda,2024-04,64600.0,KES
Nairobi,Runda,2024-05,64800.0,KES
Nairobi,Runda,2024-06,64900.0,KES
Nairobi,Runda,2024-07,64800.0,KES
Nairobi,Runda,2024-08,66900.0,KES
Nairobi,Runda,2024-09,67700.0,KES
Nairobi,Runda,2024-10,68000.0,KES
Nairobi,Runda,2024-11,67200.0,KES
Nairobi,Runda,2024-12,68500.0,KES
Nairobi,Runda,2025-01,70800.0,KES
Nairobi,Runda,2025-02,71100.0,KES
Nairobi,Runda,2025-03,69800.0,KES
Nairobi,Runda,2025-04,68300.0,KES
Nairobi,Runda,2025-05,68500.0,KES
Nairobi,Runda,2025-06,68900.0,KES
Nairobi,Runda,2025-07,70200.0,KES
Nairobi,Runda,2025-08,72400.0,KES
Nairobi,Runda,2025-09,73700.0,KES
Nairobi,Runda,2025-10,73900.0,KES
Nairobi,Runda,2025-11,72600.0,KES
Nairobi,Runda,2025-12,72100.0,KES
Nairobi,Westlands,2024-01,69300.0,KES
Nairobi,Westlands,2024-02,67700.0,KES
Nairobi,Westlands,2024-03,66400.0,KES
Nairobi,Westlands,2024-04,64000.0,KES
Nairobi,Westlands,2024-05,63800.0,KES
Nairobi,Westlands,2024-06,63800.0,KES
Nairobi,Westlands,2024-07,64600.0,KES
